name,c1,c2,c3,c4,c5
A,TMO,DHR,WAT,RVTY,MTD
AAPL,MSFT,GOOG,NVDA,AMZN,META
ABBV,MRK,BMY,PFE,LLY,AMGN
ABNB,BKNG,EXPE,MAR,HLT,UBER
ABT,MDT,BDX,BSX,JNJ,EW
ACGL,CB,AIG,TRV,PGR,ALL
ACN,IBM,CTSH,EPAM,ADP,PAYX
ADBE,CRM,INTU,MSFT,NOW,ADSK
ADI,TXN,NXPI,MCHP,ON,MPWR
ADM,BG,CTVA,CF,MOS,KHC
ADP,PAYX,FI,FIS,GPN,INTU
ADSK,ANSS,PTC,ADBE,CDNS,SNPS
AEE,AEP,DUK,XEL,ETR,ES
AEP,DUK,SO,EXC,EIX,NEE
AES,NRG,NEE,CEG,D,EXC
AFL,PRU,MET,HIG,GL,LNC
AIG,CB,TRV,HIG,ALL,MET
AIZ,HIG,CB,WRB,ALL,TRV
AJG,AON,MMC,WTW,BRO,CB
AKAM,FTNT,PANW,CRWD,CSCO,MSFT
ALB,LYB,DOW,EMN,CF,MOS
ALGN,ISRG,SYK,BDX,EW,ZBH
ALL,PGR,TRV,CB,HIG,WRB
ALLE,MAS,JCI,TT,LII,SWK
AMAT,LRCX,KLAC,TER,NVDA,MU
AMCR,BALL,PKG,IP,LYB,DOW
AMD,NVDA,INTC,QCOM,AVGO,MU
AME,ROP,ROK,EMR,IR,ITW
AMGN,GILD,REGN,BIIB,MRK,BMY
AMP,BLK,TROW,BEN,SCHW,RJF
AMT,CCI,SBAC,EQIX,DLR,IRM
AMZN,MSFT,GOOG,WMT,COST,META
ANET,CSCO,JNPR,HPE,DELL,MSI
ANSS,ADSK,PTC,SNPS,CDNS,ADBE
AON,MMC,WTW,AJG,BRO,CB
AOS,LII,TT,JCI,MAS,SWK
APA,DVN,EOG,COP,FANG,OXY
APD,LIN,DOW,LYB,EMN,ECL
APH,TEL,HUBB,GLW,KEYS,JBL
APO,BX,KKR,BLK,MS,GS
APTV,GM,F,TEL,MCHP,NXPI
ARE,VTR,WELL,BXP,PLD,DLR
ATO,SRE,WEC,NI,DTE,XEL
AVB,EQR,MAA,CPT,UDR,ESS
AVGO,QCOM,NVDA,AMD,TXN,INTC
AVY,PKG,IP,BALL,LYB,DOW
AWK,WEC,DUK,XEL,EIX,D
AXON,MSI,LHX,GD,TDY,HII
AXP,MA,V,COF,SYF,BAC
AZO,ORLY,GPC,KMX,GM,F
BA,LMT,NOC,GD,RTX,HII
BAC,JPM,C,WFC,PNC,USB
BALL,AMCR,PKG,IP,DOW,LYB
BAX,BDX,MDT,BSX,EW,HOLX
BBY,WMT,TGT,COST,AMZN,WSM
BDX,MDT,BSX,ABT,TMO,EW
BEN,TROW,BLK,SCHW,IVZ,RJF
BG,ADM,CTVA,CF,MOS,KHC
BIIB,REGN,GILD,AMGN,MRK,BMY
BK,STT,NTRS,JPM,SCHW,GS
BKNG,EXPE,ABNB,UBER,MAR,HLT
BKR,SLB,HAL,OXY,FANG,COP
BLDR,MAS,MLM,VMC,PHM,LEN
BLK,TROW,BEN,SCHW,MS,GS
BMY,MRK,PFE,ABBV,AMGN,GILD
BR,FIS,FI,GPN,ADP,PAYX
BRO,AJG,AON,MMC,WTW,CB
